#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],plate,mjd,fiber
spec-8421-58223-0026.fits,sdssdr12,-55.9175,M6,-0.5,8421,58223,26
spec-7288-57039-0066.fits,sdssdr12,-118.6233333,K3,-1,7288,57039,66
spec-7701-57356-0262.fits,sdssdr12,-75.26166666,M3,-1,7701,57356,262
spec-8234-57450-0664.fits,sdssdr12,-101.2583333,K4,-1,8234,57450,664
spec-11052-58438-0245.fits,sdssdr12,-28.68,M4,0.5,11052,58438,245
spec-7411-56776-0831.fits,sdssdr12,-138.905,M0,0.5,7411,56776,831
spec-3936-55302-0724.fits,sdssdr12,-46.66666667,M8,0,3936,55302,724
spec-11090-58487-0844.fits,sdssdr12,96.795,M2,1,11090,58487,844
spec-3459-55007-0402.fits,sdssdr12,-147.095,C3+WD2,0,3459,55007,402
spec-7397-57129-0759.fits,sdssdr12,-45.16166667,F6,-1.5,7397,57129,759
spec-7515-56781-0116.fits,sdssdr12,-20.22,K0,0,7515,56781,116
spec-1602-53117-0469.fits,sdssdr12,119.5216667,F5,-2,1602,53117,469
spec-7387-57038-0201.fits,sdssdr12,55.59166667,G8,-0.5,7387,57038,201
spec-8398-57870-0724.fits,sdssdr12,-26.6575,M2,0,8398,57870,724
spec-8514-58174-0284.fits,sdssdr12,9.66,M3,-1,8514,58174,284
spec-7300-56707-0641.fits,sdssdr12,-31.47,M1,-0.5,7300,56707,641
spec-8819-57450-0447.fits,sdssdr12,-139.0233333,F9+G0,0,8819,57450,447
spec-7374-56751-0369.fits,sdssdr12,-26.3825,M2,1,7374,56751,369
spec-7389-56769-0370.fits,sdssdr12,-5.215,M2,1,7389,56769,370
spec-7760-58080-0242.fits,sdssdr12,-171.7733333,K5,-2,7760,58080,242
spec-7408-56780-0894.fits,sdssdr12,10.93333333,M3,0.5,7408,56780,894
spec-8286-57062-0433.fits,sdssdr12,-18.90666667,K4+M0,0,8286,57062,433
spec-7590-56944-0466.fits,sdssdr12,-34.73333333,M5,0.5,7590,56944,466
spec-7845-56980-0272.fits,sdssdr12,-33.135,M4,0.5,7845,56980,272
spec-7380-56753-0997.fits,sdssdr12,-106.935,G4,-1.5,7380,56753,997
spec-5343-55999-0904.fits,sdssdr12,8.911666666,A8,0.5,5343,55999,904
spec-7599-56955-0930.fits,sdssdr12,-64.13166666,M4,0.5,7599,56955,930
spec-2506-54179-0257.fits,sdssdr12,-115.635,A6,0,2506,54179,257
spec-7303-57013-0324.fits,sdssdr12,28.03833333,M2,1,7303,57013,324
spec-7902-57362-0550.fits,sdssdr12,-23.46833333,F8,-1.5,7902,57362,550
spec-9355-57814-0644.fits,sdssdr12,38.775,K7,0.5,9355,57814,644
spec-7673-57329-0806.fits,sdssdr12,-235.47,G0,-1.5,7673,57329,806
spec-7411-56776-0562.fits,sdssdr12,-2.361666667,M4,0.5,7411,56776,562
spec-7415-57097-0432.fits,sdssdr12,-139.835,M4,0.5,7415,57097,432
spec-7849-56980-0514.fits,sdssdr12,-28.0025,M0,0.5,7849,56980,514
spec-8496-58159-0124.fits,sdssdr12,-112.485,G6+WD3,0,8496,58159,124
spec-10263-58464-0864.fits,sdssdr12,-26.50833333,M3,0.5,10263,58464,864
spec-7406-56805-0659.fits,sdssdr12,-45.09,M0,0.5,7406,56805,659
spec-7423-57135-0781.fits,sdssdr12,-21.72333333,M0,0.5,7423,57135,781
spec-7625-57011-0532.fits,sdssdr12,24.09666667,M2,0,7625,57011,532
spec-7596-56945-0554.fits,sdssdr12,-34.74333333,M5,0.5,7596,56945,554
spec-8294-57365-0724.fits,sdssdr12,1.8175,M5,0.5,8294,57365,724
spec-8742-57364-0306.fits,sdssdr12,-224.0633333,K4,0.5,8742,57364,306
spec-8855-57780-0262.fits,sdssdr12,8.786666666,M5,0.5,8855,57780,262
spec-7387-57038-0344.fits,sdssdr12,-75.99,K7,0.5,7387,57038,344
spec-8292-57373-0069.fits,sdssdr12,-28.00666667,M5,0.5,8292,57373,69
spec-7319-56962-0726.fits,sdssdr12,17.65666667,K7,0.5,7319,56962,726
spec-8404-57481-0630.fits,sdssdr12,4.058333333,M4,0.5,8404,57481,630
spec-8232-58135-0148.fits,sdssdr12,-70.52666666,G4,-1.5,8232,58135,148
spec-7374-56751-0386.fits,sdssdr12,-3.5225,M2,0,7374,56751,386
spec-7392-56992-0815.fits,sdssdr12,-12.51,M5,0.5,7392,56992,815
spec-7590-56944-0489.fits,sdssdr12,-21.93666667,M4,0.5,7590,56944,489
spec-7287-57042-0220.fits,sdssdr12,-3.981666667,K3,-1,7287,57042,220
spec-7827-57278-0770.fits,sdssdr12,-152.185,F7,-1,7827,57278,770
spec-7280-56709-0744.fits,sdssdr12,8.09,M4,0.5,7280,56709,744
spec-8869-57481-0618.fits,sdssdr12,-51.935,M2,1,8869,57481,618
spec-8167-57071-0673.fits,sdssdr12,96.08666666,G7,-1.5,8167,57071,673
spec-7581-56949-0076.fits,sdssdr12,27.16666667,G3,-1,7581,56949,76
spec-7401-56808-0204.fits,sdssdr12,-44.355,G3,0,7401,56808,204
spec-7388-56783-0390.fits,sdssdr12,-24.345,M2,0,7388,56783,390
spec-8401-57482-0670.fits,sdssdr12,-50.535,M3,0.5,8401,57482,670
spec-8214-57867-0274.fits,sdssdr12,-150.7316667,M1,-0.5,8214,57867,274
spec-7603-56960-0418.fits,sdssdr12,-30.3675,K5,0.5,7603,56960,418
spec-7315-56685-0500.fits,sdssdr12,-8.6725,F6,-0.5,7315,56685,500
spec-7419-56811-0258.fits,sdssdr12,-87.58333333,K2,-1,7419,56811,258
spec-8528-57896-0691.fits,sdssdr12,-42.485,M0,0.5,8528,57896,691
spec-8375-57520-0600.fits,sdssdr12,-11.05166667,M2,1,8375,57520,600
spec-7396-56809-0082.fits,sdssdr12,35.02833333,M4,0.5,7396,56809,82
spec-7598-56956-0722.fits,sdssdr12,43.095,M3,-1,7598,56956,722
spec-8542-57933-0788.fits,sdssdr12,-117.0516667,A5+F2,0,8542,57933,788
spec-7311-57038-0736.fits,sdssdr12,-91.295,M1,0.5,7311,57038,736
spec-3459-55007-0547.fits,sdssdr12,-102.7683333,F3,0,3459,55007,547
spec-7426-56771-0546.fits,sdssdr12,5.128333333,M2,1,7426,56771,546
spec-8506-57893-0516.fits,sdssdr12,-80.13166666,M5,0.5,8506,57893,516
spec-7702-58017-0698.fits,sdssdr12,-86.54166666,M5,0.5,7702,58017,698
spec-7651-57654-0312.fits,sdssdr12,0.131666667,M5,0.5,7651,57654,312
spec-7288-57039-0573.fits,sdssdr12,-94.29333333,M3,0.5,7288,57039,573
